L1|Spikkestad, Røyken, Heggedal, Gullhella, Bondivann, Asker, Høn, Vakås, Hvalstad, Billingstad, Slependen, Sandvika, Blommenholm, Høvik, Stabekk, Lysaker, Skøyen, Nationaltheatret, Oslo S, Bryn, Alna, Nyland, Grorud, Haugenstua, Høybråten, Lørenskog, Hanaborg, Fjellhamar, Strømmen, Sagdalen, Lillestrøm
R10|Drammen, Asker, Sandvika, Lysaker, Skøyen, Nationaltheateret, Oslo S, Lillestrøm, Oslo Lufthavn, Eidsvoll, Tangen, Stange, Hamer, Brumunddal, Moelv, Lillehammer
