stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,vehicle_type
NSR:Quay:100220,,Moelv stasjon,,60.930336,10.698608,,,0,NSR:StopPlace:9835,2,,,700
NSR:Quay:100229,,Trondheim lufthavn stasjon,,63.453903,10.913933,,,0,NSR:StopPlace:456,2,,2,100
NSR:Quay:810,,Blommenholm stasjon,,59.897305,10.555088,,,0,NSR:StopPlace:493,2,,1,100
NSR:Quay:811,,Blommenholm stasjon,,59.897232,10.555124,,,0,NSR:StopPlace:493,2,,2,100
NSR:Quay:86659,,Mo stasjon,,66.3097,14.134421,,,0,NSR:StopPlace:50869,2,,,700
NSR:Quay:102647,,Göteborg Centralstation,se avgangstavle for sporinformasjon,57.709034,11.973598,,,0,NSR:StopPlace:374,2,,,100
NSR:Quay:814,,Öxnered station,,58.3593,12.273847,,,0,NSR:StopPlace:496,2,,1,100
NSR:Quay:76862,,Grøndalselv,,64.69184,12.751681,,,0,NSR:StopPlace:44664,2,,,700
NSR:Quay:818,,Lunde stasjon,,59.299007,9.100824,,,0,NSR:StopPlace:501,2,,2,100
NSR:Quay:819,,Bellingmo stasjon,,62.030094,10.78518,,,0,NSR:StopPlace:500,2,,1,100
NSR:Quay:75770,,Hegra stasjon,,63.46078,11.104463,,,0,NSR:StopPlace:44117,2,,,700
NSR:Quay:8260,,Vestby stasjon,,59.604134,10.749612,,,0,NSR:StopPlace:4569,2,,,700
NSR:Quay:99726,,Trondheim S,,63.436043,10.402351,,,0,NSR:StopPlace:41742,2,,12,700
NSR:Quay:76624,,Grong stasjon,,64.45796,12.337261,,,0,NSR:StopPlace:44550,2,,,700
NSR:Quay:76623,,Grong stasjon,,64.45685,12.337092,,,0,NSR:StopPlace:44550,2,,,700
NSR:Quay:76865,,Gudå,,63.44402,11.620224,,,0,NSR:StopPlace:44665,2,,,700
NSR:Quay:73357,,Leistadkrysset,,63.4228,10.629564,,,0,NSR:StopPlace:42795,2,,,700
NSR:Quay:76864,,Gudå,,63.444096,11.620234,,,0,NSR:StopPlace:44665,2,,,700
NSR:Quay:73356,,Leistadkrysset,,63.42225,10.630415,,,0,NSR:StopPlace:42795,2,,,700
NSR:Quay:76621,,Grong stasjon,,64.45683,12.337087,,,0,NSR:StopPlace:44550,2,,,700
NSR:Quay:76863,,Grøndalselv,,64.69171,12.751761,,,0,NSR:StopPlace:44664,2,,,700
NSR:Quay:16788,,Moelv stasjon,,60.93012,10.698605,,,0,NSR:StopPlace:9835,2,,,700
NSR:Quay:101560,,Mjøndalen stasjon,,59.750546,10.012482,,,0,NSR:StopPlace:16396,2,,C,700
NSR:Quay:830,,Larvik stasjon,,59.05011,10.03081,,,0,NSR:StopPlace:506,2,,2,100
